"Statistic Label","Month","Driving Test Categories","Driving Test Centre","UNIT","VALUE"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","All driving test centres","Number","2175"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Athlone, Co. Westmeath","Number","28"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Ballina, Co. Mayo","Number","13"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Birr, Co. Offaly","Number","18"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Birr (County Arms Hotel), Co. Offaly","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Buncrana, Co. Donegal","Number","10"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Carlow, Co. Carlow","Number","24"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Carlow Talbot Hotel, Co. Carlow","Number","47"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Carrick On Shannon, Co. Leitrim","Number","6"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Castlebar, Co. Mayo","Number","11"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Cavan, Co. Cavan","Number","16"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Charlestown (Dublin), Co. Dublin","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Clifden, Co. Galway","Number","2"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Clonmel, Co. Tipperary","Number","36"
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Cork (Ballincollig), Co. Cork","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Number",""
"Driving Tests Not Conducted / Abandoned","2026 July","Category B (Car or light van)","Cork (Wilton), Co. Cork","Number","140"
