"Statistic Label","Month","Driving Test Categories","Driving Test Centre","UNIT","VALUE"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","All driving test centres","%","52.3"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Athlone, Co. Westmeath","%","45.2"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Ballina, Co. Mayo","%","54.6"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Birr, Co. Offaly","%","56.8"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Birr (County Arms Hotel), Co. Offaly","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Buncrana, Co. Donegal","%","57.5"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Carlow, Co. Carlow","%","55.3"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Carlow Talbot Hotel, Co. Carlow","%","40.6"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Carrick On Shannon, Co. Leitrim","%","56.7"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Castlebar, Co. Mayo","%","54.2"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Cavan, Co. Cavan","%","57.6"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Charlestown (Dublin), Co. Dublin","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Clifden, Co. Galway","%","68.5"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Clonmel, Co. Tipperary","%","49.4"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Cork (Ballincollig), Co. Cork","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Cork (St. Finbarr's GAA Club Togher), Co. Cork","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Cork (Wilton), Co. Cork","%","53"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Donegal, Co. Donegal","%","59.8"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Drogheda, Co. Louth","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Dun Laoghaire / Deansgrange, Co. Dublin","%","44"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Dundalk, Co. Louth","%","62.2"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Dungarvan, Co. Waterford","%","52.3"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Ennis, Co. Clare","%","61.9"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Finglas, Co. Dublin","%","48.1"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Galway (Carnmore), Co. Galway","%","59.1"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Galway (Westside), Co. Galway","%",""
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Gorey, Co. Wexford","%","49.2"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Kilkenny (Govt Buildings), Co. Kilkenny","%","52"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","%","66.4"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Killarney, Co. Kerry","%","44.6"
"Driving Test Pass Rate","2026 July","Category B (Car or light van)","Killester, Co. Dublin","%","47.3"
