"Statistic Label","Month","Driving Test Centre","UNIT","VALUE"
"Estimated Time to Driving Test Invite at Month End","2026 July","All driving test centres","Weeks","12.1"
"Estimated Time to Driving Test Invite at Month End","2026 July","Athlone, Co. Westmeath","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Ballina, Co. Mayo","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Birr, Co. Offaly","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Birr (County Arms Hotel), Co. Offaly","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Buncrana, Co. Donegal","Weeks","11"
"Estimated Time to Driving Test Invite at Month End","2026 July","Carlow, Co. Carlow","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Carlow Talbot Hotel, Co. Carlow","Weeks","11"
"Estimated Time to Driving Test Invite at Month End","2026 July","Carrick On Shannon, Co. Leitrim","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Castlebar, Co. Mayo","Weeks","14"
"Estimated Time to Driving Test Invite at Month End","2026 July","Cavan, Co. Cavan","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Charlestown (Dublin), Co. Dublin","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Clifden, Co. Galway","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Clonmel, Co. Tipperary","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Cork (Ballincollig), Co. Cork","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Cork (Wilton), Co. Cork","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Donegal, Co. Donegal","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Drogheda, Co. Louth","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Dun Laoghaire / Deansgrange, Co. Dublin","Weeks","14"
"Estimated Time to Driving Test Invite at Month End","2026 July","Dundalk, Co. Louth","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Dungarvan, Co. Waterford","Weeks","14"
"Estimated Time to Driving Test Invite at Month End","2026 July","Ennis, Co. Clare","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Finglas, Co. Dublin","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Galway (Carnmore), Co. Galway","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Galway (Westside), Co. Galway","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Gorey, Co. Wexford","Weeks","11"
"Estimated Time to Driving Test Invite at Month End","2026 July","Kilkenny (Govt Buildings), Co. Kilkenny","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Killarney, Co. Kerry","Weeks","16"
"Estimated Time to Driving Test Invite at Month End","2026 July","Killester, Co. Dublin","Weeks","14"
"Estimated Time to Driving Test Invite at Month End","2026 July","Kilrush, Co. Clare","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Letterkenny, Co. Donegal","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Limerick - Castlemungret, Co. Limerick","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Limerick - Woodview, Co. Limerick","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Limerick (Roxboro), Co. Limerick","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Longford, Co. Longford","Weeks","14"
"Estimated Time to Driving Test Invite at Month End","2026 July","Loughrea, Co. Galway","Weeks","16"
"Estimated Time to Driving Test Invite at Month End","2026 July","Loughrea (Lough Rea Hotel & Spa), Co. Galway","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Mallow, Co. Cork","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Mallow (Cork Racecourse Mallow), Co. Cork","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Monaghan, Co. Monaghan","Weeks","8"
"Estimated Time to Driving Test Invite at Month End","2026 July","Mulhuddart, Co. Dublin","Weeks","17"
"Estimated Time to Driving Test Invite at Month End","2026 July","Mulhuddart (Carlton Hotel), Co. Dublin","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Mulhuddart Maple House, Co. Dublin","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Mullingar, Co. Westmeath","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Naas, Co. Kildare","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Navan, Co. Meath","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Nenagh, Co. Tipperary","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Newcastle West, Co. Limerick","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Newcastle West (Longcourt House Hotel), Co. Limerick","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Portlaoise, Co. Laois","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Portlaoise (Maldron Hotel), Co. Laois","Weeks","14"
"Estimated Time to Driving Test Invite at Month End","2026 July","Raheny, Co. Dublin","Weeks","29"
"Estimated Time to Driving Test Invite at Month End","2026 July","Roscommon, Co. Roscommon","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Shannon, Co. Clare","Weeks","7"
"Estimated Time to Driving Test Invite at Month End","2026 July","Skibbereen, Co. Cork","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Sligo, Co. Sligo","Weeks","11"
"Estimated Time to Driving Test Invite at Month End","2026 July","Tallaght, Co. Dublin","Weeks","21"
"Estimated Time to Driving Test Invite at Month End","2026 July","Thurles, Co. Tipperary","Weeks","12"
"Estimated Time to Driving Test Invite at Month End","2026 July","Tipperary, Co. Tipperary","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Tralee, Co. Kerry","Weeks","15"
"Estimated Time to Driving Test Invite at Month End","2026 July","Tralee (HGV's), Co. Kerry","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Tuam, Co. Galway","Weeks","10"
"Estimated Time to Driving Test Invite at Month End","2026 July","Tullamore, Co. Offaly","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Waterford, Co. Waterford","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Wexford, Co. Wexford","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Wicklow, Co. Wicklow","Weeks","13"
"Estimated Time to Driving Test Invite at Month End","2026 July","Galway (Clybaun Hotel), Co. Galway","Weeks","9"
"Estimated Time to Driving Test Invite at Month End","2026 July","Sandyford, Co. Dublin","Weeks",""
"Estimated Time to Driving Test Invite at Month End","2026 July","Drogheda – Southgate, Co. Louth","Weeks","19"
"Estimated Time to Driving Test Invite at Month End","2026 July","Mitchelstown, Co. Cork","Weeks","10"
