SIGN FILE TO DESCRIPTION MAPPING
==================================
This document maps each sign file number to its corresponding description from signs.txt

File Number | Description
------------|------------
1.png       | 1. No Entry
2.png       | 2. Maximum Axle Weight 4T
3.png       | 3. Clearway
4.png       | 4. No Straight Ahead
5.png       | 5. No Right Turn
6.png       | 6. No Left Turn
7.png       | 7. No Overtaking
8.png       | 8. No Entry For Large Vehicles (3T+)
9.png       | 9. Max Speed Limit 80km/h
10.png      | 10. Height Restriction
11.png      | 11. No U-turn
12.png      | 12. Parking Permitted
13.png      | 13. No Parking
14.png      | 14. Taxi Rank
15.png      | 15. Pedestrianised Street
16.png      | 16. Max Speed 50km/h
17.png      | 17. Max Gross Weight 7.5T
18.png      | 18. Max Vehicle Length (10.5m)
19.png      | 19. Max Vehicle Width 2.5m
20.png      | 20. No Overtaking For 3-Axle Vehicles
21.png      | 21. No Ridden or Accompanied Horses
22.png      | 22. No Bicycles
23.png      | 23. Cul-de-sac
24.png      | 24. Entry To Motorway
25.png      | 25. 300m To Next Exit
26.png      | 26. Motorway Ends 500m Ahead
27.png      | 27. End Of Motorway
28.png      | 28. Pedestrians And Bicycles Only
29.png      | 29. Separate Bicycle & Pedestrian Lanes
30.png      | 30. Hospital 100m Ahead
31.png      | 31. Roadworks Ahead
32.png      | 32. End Of Roadworks
33.png      | 33. Two-Way Traffic
34.png      | 34. One-Lane Crossover (Out)
35.png      | 35. One-Lane Crossover (Back)
36.png      | 36. End Of Central Reserve/Obstruction
37.png      | 37. Start Of Central Reserve/Obstruction
38.png      | 38. Road Narrows From Left
39.png      | 39. Road Narrows From Right
40.png      | 40. Road Narrows On Both Sides
41.png      | 41. Uneven Surface
42.png      | 42. Loose Chippings
43.png      | 43. Nearside Lane (Of Two) Closed
44.png      | 44. Flagman Ahead
45.png      | 45. Temporary Traffic Signals Ahead
46.png      | 46. Two Offside Lanes (Of Four) Closed
47.png      | 47. Move To Right (Two Lanes)
48.png      | 48. Single Lane (For Shuttle Working)
49.png      | 49. Move To Right (One Lane)
